Location,Renew.,Hydro,Wind,Solar,Bio.,Geo.,Year
World,30,14,8,6,2,0.3,2023
Albania,100,97,0,3,0,0,2023
Bhutan,100,100,0,0,0,0,2023
Central African Republic,100,100,0,0,0,0,2023
DR Congo,100,86,0,14,0.2,0,2023
Ethiopia,100,96,3,0.2,0.05,0.2,2023
Lesotho,100,100,0,0,0,0,2023
Nepal,100,99,0.09,0.9,0,0,2023
Paraguay,100,99,0,0,0.5,0,2023
Iceland,100,70,0.05,0,0,30,2023
Costa Rica,100,73,13,0.7,0.5,13,2023
Norway,99,89,10,0,0.2,0.01,2023
Namibia,98,70,1,27,0,0,2023
Uganda,97,87,0,3,8,0,2023
Eswatini,96,54,0,5,38,0,2023
Malawi,96,92,0,0.6,3,0,2023
Sierra Leone,95,86,0,10,0,0,2023
Tajikistan,93,93,0,0,0,0,2023
Uruguay,92,27,37,4,24,0,2023
El Salvador,91,31,2,19,14,24,2023
Kenya,90,21,16,5,2,47,2023
Luxembourg,89,6,35,21,27,0,2023
Zambia,89,88,0,0.8,0.4,0,2023
Brazil,89,60,13,7,8,0,2023
Belize,89,53,0,2,33,0,2023
New Zealand,88,60,8,0.8,2,18,2023
Greenland,87,87,0,0,0,0,2023
Denmark,87,0.06,58,10,19,0,2023
Afghanistan,87,77,0,9,0,0,2023
Kyrgyzstan,86,86,0,0,0,0,2023
Austria,85,58,11,9,6,0,2023
Lithuania,84,9,48,13,14,0,2023
Mozambique,84,83,0,0.4,0.7,0,2023
Venezuela,78,78,0.02,0.01,0,0,2023
Latvia,78,60,4,4,10,0,2023
Ecuador,77,75,0.2,0.1,1,0,2023
Laos,77,76,0,0.1,0.08,0,2023
Angola,76,74,0,2,0.3,0,2023
Georgia,76,75,0.6,0,0,0,2023
Guinea,75,74,0,0.7,0,0,2023
Guatemala,75,42,3,2,26,3,2023
Portugal,75,26,29,11,8,0.4,2023
French Guiana,71,61,0,5,5,0,2022
Sudan,70,69,0,0.8,0.7,0,2023
Croatia,70,47,14,2,6,0.1,2023
Sweden,69,40,21,2,7,0,2023
Burundi,69,67,0,0,3,0,2023
Zimbabwe,68,66,0,0.4,1,0,2023
Canada,67,58,6,1,2,0,2023
Colombia,66,62,0.07,1,3,0,2023
Chile,65,30,11,19,4,0.5,2023
Nicaragua,65,15,13,0.7,20,16,2023
Cameroon,64,63,0,0.2,0.5,0,2023
Fiji,63,52,0,0.9,10,0,2023
North Korea,63,63,0,0.6,0,0,2023
Switzerland,63,55,0.2,6,0,0,2023
Panama,62,48,7,7,0.3,0,2023
Honduras,62,33,6,9,11,3,2023
Montenegro,60,52,8,0,0,0,2023
Rwanda,57,53,0,4,0,0,2023
Peru,55,50,3,1,1,0,2023
Germany,53,4,28,12,9,0.04,2023
Spain,51,9,23,17,2,0,2023
Finland,51,19,18,0.9,14,0,2023
Cook Islands,50,0,0,50,0,0,2023
Romania,50,32,13,4,0.8,0,2023
Greece,50,8,22,18,1,0,2023
Estonia,49,0.5,13,12,24,0,2023
Gabon,48,48,0,0,0.3,0,2023
Lebanon,47,15,0.2,31,0.7,0,2023
United Kingdom,47,2,29,5,12,0,2023
Netherlands,47,0.06,24,16,6,0,2023
Faroe Islands,46,27,19,0,0,0,2023
Ireland,45,3,37,2,3,0,2023
Italy,45,16,9,12,6,2,2023
Cambodia,45,39,0,6,0.07,0,2023
Suriname,43,42,0,0.5,0.5,0,2023
Vietnam,43,29,4,9,0.3,0,2023
Mali,43,38,0,3,2,0,2023
Turkey,42,20,11,6,3,3,2023
Macau,41,0,0,0,41,0,2023
Slovenia,41,32,0.06,6,2,0,2023
Bosnia and Herzegovina,40,37,2,1,0.2,0,2023
Samoa,40,20,0,13,7,0,2023
Ghana,39,38,0,0.6,0.08,0,2023
Myanmar,38,37,0,0.4,1,0,2023
Madagascar,35,31,0,3,1,0,2023
Serbia,35,32,2,0.05,0.7,0,2023
Bolivia,35,25,4,3,4,0,2023
Djibouti,35,0,35,0,0,0,2023
Australia,35,6,12,16,1,0,2023
Guadeloupe,35,0.6,7,7,15,6,2022
Réunion,34,19,0,8,7,0,2022
Argentina,34,20,10,2,2,0,2023
French Polynesia,34,27,0,7,0,0,2023
North Macedonia,34,23,2,6,2,0,2023
Palestine,33,0,0,33,0,0,2023
Liberia,33,33,0,0,0,0,2023
Belgium,33,0.5,19,10,5,0,2023
Equatorial Guinea,31,31,0,0,0,0,2023
Ivory Coast,31,30,0,0.2,0.8,0,2023
China,31,13,9,6,2,0,2023
Cape Verde,28,0,14,14,0,0,2023
Armenia,28,19,0,9,0,0,2023
Mauritania,27,13,6,9,0,0,2023
Poland,27,1,14,7,5,0,2023
France,27,11,9,4,2,0.1,2023
Hungary,26,0.6,2,20,4,0.06,2023
New Caledonia,26,17,1,7,0,0,2023
Martinique,26,0,3,6,17,0.7,2022
Tanzania,26,25,0,0.3,0.6,0,2023
Pakistan,25,20,4,0.7,1,0,2023
Bulgaria,25,8,4,9,5,0,2023
Kiribati,25,0,0,25,0,0,2023
Vanuatu,25,12,0,12,0,0,2023
Papua New Guinea,24,21,0,0.2,0.2,2,2023
Jordan,23,0.09,8,15,0,0,2023
Nigeria,23,23,0,0.2,0.1,0,2023
Slovakia,23,16,0,2,5,0,2023
United States,23,6,10,6,1,0.4,2023
Philippines,22,9,0.9,2,1,9,2023
Japan,22,7,1,10,4,0,2023
Senegal,22,4,9,7,1,0,2023
Morocco,22,1,15,5,0.09,0,2023
Mexico,21,6,6,8,2,0,2023
Congo,21,20,0,0.2,0.2,0,2023
Togo,21,9,0,12,0,0,2023
Cyprus,20,0,4,16,0.9,0,2023
India,20,7.6,4.0,6.5,1.7,0,2024
Malaysia,19,17,0,2,0.7,0,2023
Somalia,19,0,2,17,0,0,2023
Haiti,19,19,0,0,0,0,2023
Indonesia,19,7,0.1,0.2,6,5,2023
Russia,18,17,0.4,0.2,0.07,0,2023
Mauritius,17,3,0.3,5,10,0,2023
Burkina Faso,17,7,0,5,5,0,2023
Dominican Republic,17,6,5,6,0.9,0,2023
Aruba,17,0,14,3,0,0,2023
Yemen,17,0,0,17,0,0,2023
Ukraine,17,10,1,5,0.7,0,2022
Thailand,16,3,2,3,7,0,2023
Czech Republic,15,3,1,4,7,0,2023
Seychelles,14,0,2,13,0,0,2023
Tonga,14,0,0,14,0,0,2023
Malta,14,0,0,13,0.4,0,2023
Dominica,13,13,0,0,0,0,2023
Saint Vincent and the Grenadines,13,13,0,0,0,0,2023
Jamaica,13,3,6,3,1,0,2023
Kazakhstan,13,8,3,2,0,0,2023
South Africa,13,0.7,5,7,0.2,0,2023
Moldova,12,6,4,2,0.2,0,2023
Kosovo,11,8,3,0.3,0,0,2023
Eritrea,11,0,0,11,0,0,2023
Egypt,11,6,3,2,0,0,2023
São Tomé and Príncipe,11,11,0,0,0,0,2023
Israel,11,0,1,9,0.1,0,2023
Mongolia,10,0.8,6,2,0,0,2023
Uzbekistan,9,9,0,0.6,0,0,2023
Solomon Islands,9,0,0,9,0,0,2023
South Korea,9,0.6,0.6,5,3,0,2023
Taiwan,9,1,2,5,0.7,0,2023
United Arab Emirates,8,0,0.03,8,0.02,0,2023
Barbados,8,0,0,8,0,0,2023
Guam,8,0,0,8,0,0,2023
Maldives,7,0,0,7,0,0,2023
South Sudan,7,0,0,7,0,0,2023
Guyana,7,0,0,1,5,0,2023
Azerbaijan,7,6,0.3,0.2,0.4,0,2023
Iran,6,6,0.3,0.2,0.01,0,2023
Antigua and Barbuda,6,0,0,6,0,0,2023
Puerto Rico,5,0.2,0.8,4,0.05,0,2023
Chad,5,0,3,0,3,0,2023
Cuba,5,0.8,0.4,1,2,0,2023
Saint Kitts and Nevis,5,0,5,0,0,0,2023
Singapore,5,0,0,2,3,0,2023
Syria,4,4,0,0.5,0.1,0,2023
Oman,4,0,0.3,4,0,0,2023
Tunisia,4,0.05,2,2,0,0,2023
Belarus,3,0.9,0.4,0.5,1,0,2023
Benin,3,0,0,3,0,0,2023
U.S. Virgin Islands,3,0,0,3,0,0,2023
Cayman Islands,3,0,0,3,0,0,2023
Niger,2,0,0,2,0,0,2023
Saint Lucia,2,0,0,2,0,0,2023
Kuwait,2,0,2,0.2,0,0,2023
Bangladesh,2,0.6,0,1,0,0,2023
Bermuda,2,0,0,0,2,0,2023
Saudi Arabia,1,0,0.3,1,0,0,2023
Iraq,1,0.9,0,0.2,0,0,2023
Bahamas,1,0,0,1,0,0,2023
Hong Kong,1,0,0,0.5,0.4,0,2023
Algeria,0.9,0.02,0.02,0.9,0,0,2023
Botswana,0.4,0,0,0.4,0,0,2023
Qatar,0.3,0,0,0.02,0.2,0,2023
Bahrain,0.2,0,0,0.2,0,0,2023
Trinidad and Tobago,0.1,0,0,0.1,0,0,2023
Turkmenistan,0.03,0.03,0,0,0,0,2023
Libya,0.03,0,0,0.03,0,0,2023
American Samoa,0,0,0,0,0,0,2023
Brunei,0,0,0,0,0,0,2023
Comoros,0,0,0,0,0,0,2023
Falkland Islands,0,0,0,0,0,0,2023
Gambia,0,0,0,0,0,0,2023
Gibraltar,0,0,0,0,0,0,2023
Grenada,0,0,0,0,0,0,2023
Guinea-Bissau,0,0,0,0,0,0,2023
Montserrat,0,0,0,0,0,0,2023
Nauru,0,0,0,0,0,0,2023
"Saint Helena, Ascension and Tristan da Cunha",0,0,0,0,0,0,2023
Saint Pierre and Miquelon,0,0,0,0,0,0,2023
Timor-Leste,0,0,0,0,0,0,2023
Turks and Caicos Islands,0,0,0,0,0,0,2023
British Virgin Islands,0,0,0,0,0,0,2023
